學年度,年級,學期,課次,課名,生字數,語詞數,認讀字數,生字,認讀字,語詞,TextNameId,來源網址
114,二年級,上學期,第7課,第七課：國王的新衣裳,18,11,2,衣、胖、針、簡、單、聰、明、臣、敢、東、西、直、棒、街、滿、眼、哪、思,裳、慌,衣裳、簡單、聰明、大臣、不敢、東西、慌張、一直、大街、滿街、左思右想,0103021140107,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140107
114,二年級,上學期,第8課,第八課：「聰明」的小熊,18,12,2,渴、烏、喝、瓶、法、森、林、物、旅、行、午、裝、許、石、難、忘、哈、但,熊、鴉,口渴、烏鴉、瓶子、方法、森林、動物、旅行、中午、許多、石頭、難道、但是,0103021140108,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140108
114,二年級,上學期,第9課,第九課：大象有多重?,18,12,2,象、操、粗、腿、柱、砍、幾、部、搖、沖、首、牽、沉、少、沿、然、紀、竟,曹、秤,大象、曹操、粗大、柱子、部分、搖頭、首先、下沉、多少、然後、年紀、竟然,0103021140109,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140109
114,二年級,上學期,第10課,第十課：新年快樂,18,13,2,雪、梨、夜、卻、冷、冬、臺、季、相、反、煙、火、待、雖、春、貨、期、飯,灣、綻,雪梨、冬天、臺灣、季節、相反、煙火、等待、綻放、雖然、春節、年貨、期待、年夜飯,0103021140110,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140110
114,二年級,上學期,第11課,第十一課：遠方來的黑皮,18,11,2,皮、具、飛、者、洋、寒、北、嘴、伸、飽、沙、急、服、站、翅、膀、充、念,戴、扁,面具、舞者、海洋、寒冷、北方、沙子、著急、衣服、翅膀、充滿、思念,0103021140111,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140111
114,二年級,上學期,第12課,第十二課：我愛冬天,18,14,1,灰、涼、牠、鼓、絡、欣、發、居、冒、冰、圍、咪、幸、團、聚、愉、鍋、妙,聊,牠們、圓鼓鼓、熱絡、聊天、欣喜、發現、居然、冒煙、笑咪咪、幸福、團聚、愉快、火鍋、美妙,0103021140112,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140112
114,二年級,下學期,第1課,第一課：春天的顏色,15,12,2,顏、池、塘、藍、田、洞、綠、蜜、蜂、窩、粉、桃、興、處、景,鼠、燕,顏色、池塘、田鼠、地洞、蜜蜂、蜂窩、粉紅、桃花、高興、燕子、到處、景色,0103021140201,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140201
114,二年級,下學期,第2課,第二課：花衣裳,18,11,2,裳、驚、所、躲、房、間、討、論、指、裙、而、且、紫、將、工、合、貼、候,剪、慶,衣裳、驚喜、所以、房間、討論、裙子、而且、紫色、分工合作、時候、慶生,0103021140202,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140202
114,二年級,下學期,第3課,第三課：彩色王國,18,16,2,座、對、微、表、各、突、強、被、綻、特、舌、賞、果、定、互、換、共、漸,壞、融,一座、微笑、表情、各自、突然、變壞、強風、綻放、奇特、七嘴八舌、欣賞、如果、一定、互換、共同、漸漸,0103021140203,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140203
114,二年級,下學期,第4課,第四課：爸爸,18,14,2,散、芒、透、暗、照、掛、角、揚、星、閃、晶、當、睡、悄、常、旁、臂、永,窗、避,散發、光芒、透過、照亮、嘴角、星星、一閃、亮晶晶、睡著、悄悄、時常、臂膀、永遠、避風港,0103021140204,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140204
